ID	Length	SRR7537192_sorted
ENSG00000259250.1	5999	3970.0
ENSG00000147789.15	5999	408.0
ENSG00000116641.17	17999	8063.5
ENSG00000258424.1	4499	576.0
ENSG00000170873.18	6499	1900.0
ENSG00000276988.1	4999	661.5
ENSG00000166086.12	9999	888.0
ENSG00000092871.16	4999	406.0
ENSG00000197183.14	15999	2795.5
ENSG00000167978.17	4499	550.5
ENSG00000235298.1	4499	4478.0
ENSG00000270820.6	4999	1689.0
ENSG00000280416.1	9999	1324.5
ENSG00000268189.2	4499	110.5
ENSG00000103051.19	4499	124.0
ENSG00000011295.16	4499	151.5
ENSG00000252750.1	13499	230.5
ENSG00000273489.1	27999	2915.5
ENSG00000254879.1	17999	276.5
ENSG00000100201.21	4499	1092.5
ENSG00000229751.1	37999	838.0
ENSG00000230530.2	4499	70.0
ENSG00000205022.9	5499	657.5
ENSG00000266852.2	13499	1996.0
ENSG00000287600.1	4499	535.0
ENSG00000279172.1	4499	111.5
ENSG00000136044.12	40999	3420.0
ENSG00000155666.11	5499	362.5
ENSG00000285864.1	4999	595.0
ENSG00000140521.14	8999	703.5
ENSG00000053438.11	4499	156.0
ENSG00000244124.1	5999	532.0
ENSG00000261063.1	3999	731.5
ENSG00000259780.3	7999	674.5
ENSG00000236559.1	4499	188.5
ENSG00000266721.1	5499	828.0
ENSG00000225526.4	11999	262.5
ENSG00000184788.13	4999	246.0
ENSG00000264630.5	95499	4363.0
ENSG00000285444.1	4499	149.0
ENSG00000179262.10	3999	1225.5
ENSG00000226312.7	5499	635.5
ENSG00000140859.16	7499	381.0
ENSG00000287652.1	9999	536.5
ENSG00000125355.15	6999	1128.0
ENSG00000285704.1	8999	434.0
ENSG00000255422.3	18499	3458.0
ENSG00000253388.1	9499	115.0
ENSG00000124251.11	9499	956.0
ENSG00000047849.21	10499	1457.0
ENSG00000132005.9	7999	620.0
ENSG00000002745.13	55499	3901.0
ENSG00000270123.4	51499	110896.0
ENSG00000105821.15	14999	2548.0
ENSG00000173418.11	4999	477.0
ENSG00000101193.8	3999	31.5
ENSG00000116663.11	4499	958.5
ENSG00000179528.16	13999	444.5
ENSG00000152465.18	4999	137.0
ENSG00000256269.10	5499	2789.5
ENSG00000170142.11	4499	219.5
ENSG00000284526.1	5999	2209.0
ENSG00000141367.11	10499	803.0
ENSG00000120832.10	21499	2543.5
ENSG00000286843.1	26499	938.5
ENSG00000111752.11	8499	2943.0
ENSG00000149485.18	6999	2622.5
ENSG00000166016.6	5499	371.5
ENSG00000050344.9	13999	30498.5
ENSG00000117407.17	3999	67.0
ENSG00000279159.1	5999	72.0
ENSG00000264019.1	3999	269.0
ENSG00000099889.14	12499	1524.0
ENSG00000113231.13	4499	387.0
ENSG00000203499.11	7999	781.0
ENSG00000276691.1	10499	575.0
ENSG00000270871.1	7499	404.5
ENSG00000171812.13	6499	877.5
ENSG00000141378.14	20499	6591.5
ENSG00000168679.18	23499	4667.0
ENSG00000172638.13	5999	1174.0
ENSG00000280193.1	9499	1444.5
ENSG00000196367.13	4499	315.5
ENSG00000186862.20	9999	1130.5
ENSG00000101160.14	13999	3022.5
ENSG00000113597.18	4499	391.0
ENSG00000275586.1	7999	288.5
ENSG00000224186.8	14499	1998.0
ENSG00000265678.1	4499	207.0
ENSG00000204954.10	10499	10172.0
ENSG00000135299.17	4999	848.5
ENSG00000163162.8	8999	1781.0
ENSG00000222177.1	17499	425.0
ENSG00000274878.1	17999	1264.0
ENSG00000234945.8	14499	623.0
ENSG00000232564.3	9999	184.0
ENSG00000074855.11	3999	646.5
ENSG00000287169.1	5999	2923.0
ENSG00000116819.8	10499	2210.5
ENSG00000274387.1	10499	440.0
ENSG00000117601.13	18499	1242.5
ENSG00000141526.16	12499	402.0
ENSG00000264513.1	4999	102.5
ENSG00000042062.12	12499	2378.5
ENSG00000188493.15	3999	145.0
ENSG00000106245.11	4499	196.0
ENSG00000101473.17	7499	398.5
